epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,batches,epoch_seconds,train_seconds,train_eval_seconds,val_seconds,batches_per_second,samples_per_second
1,1.6078475037175333,1.5946556903697826,40.849999999999994,29.26954732510288,0.2214306876025692,0.26246653226258326,0.0001,30,0.8764508999884129,0.8087092000059783,0.03746970009524375,0.030209100106731057,37.09615273299503,9255.49010688226
2,1.6067222804806593,1.591926819503062,nan,31.069958847736622,0.23336743793015974,0.2716169274494117,0.0001,30,0.23923399997875094,0.2122036999789998,0.0,0.026868399931117892,141.3735952906046,35272.71202500585
3,1.6045735928243052,1.5904799846955289,nan,31.069958847736622,0.2336720070571788,0.2713978709320574,0.0001,30,0.2275260000023991,0.20161300001200289,0.0,0.02586160006467253,148.79992856717558,37125.58217751031
4,1.605405331709103,1.5900688073272078,nan,31.224279835390945,0.234050611503157,0.27298749981167386,0.0001,30,0.21349890006240457,0.18974970001727343,0.0,0.02369499998167157,158.10301674927032,39446.702678942944
5,1.604582518996122,1.5895151022530387,nan,30.864197530864196,0.23227562426784848,0.27166151608918565,0.0001,30,0.21474510000552982,0.18878950004000217,0.0,0.025904799927957356,158.90714257754468,39647.332073097394
6,1.6033988809139632,1.5882507812829665,nan,31.893004115226336,0.24266985495909194,0.28081053111271165,0.0001,30,0.3050494999624789,0.2813476000446826,0.0,0.023643899941816926,106.62966378684413,26604.10111481761
7,1.6015909517934184,1.5869563244007252,nan,31.790123456790127,0.2394751342212315,0.27778276301688065,0.0001,30,0.21875769994221628,0.19397110003046691,0.0,0.024743099929764867,154.6622151201283,38588.22267247201
8,1.600558187361152,1.5857576328049963,nan,32.97325102880658,0.25371676209365024,0.29120650774849677,0.0001,30,0.2531406000489369,0.2267507000360638,0.0,0.026336299953982234,132.30389143331695,33009.82091261258
9,1.6002112163570457,1.586358845969777,nan,32.30452674897119,0.24643571317996266,0.28409068892092604,0.0001,30,0.27472390001639724,0.24268559995107353,0.0,0.03194910008460283,123.61672882959735,30842.37384298454
10,1.5996435363052206,1.5853390369886233,53.15,33.8477366255144,0.26091126638380874,0.2979918013362017,0.0001,30,0.30719439999666065,0.25485350005328655,0.0288127000676468,0.02337089995853603,117.71468704070138,29369.814416654994
11,1.5993293993617983,1.5837261348104281,nan,34.00205761316872,0.2634404796275323,0.3001738352317924,0.0001,30,0.22441699996124953,0.1992977000772953,0.0,0.024931799969635904,150.52858105419605,37556.880973021915
12,1.5984378470527225,1.5832448653232905,nan,33.69341563786008,0.2586235665373836,0.2969084458894063,0.0001,30,0.25398390006739646,0.22850730002392083,0.0,0.025419299956411123,131.2868341486662,32756.065120092215
13,1.598701032082399,1.5823810340936293,nan,34.10493827160494,0.2651104776411707,0.3018581953071624,0.0001,30,0.2243848000653088,0.20146710006520152,0.0,0.02285649999976158,148.90768760899914,37152.46805844529
14,1.5964700187614302,1.5825861255818434,nan,34.15637860082305,0.2644363011036215,0.30190037114883317,0.0001,30,0.2483817000174895,0.2159315999597311,0.0,0.03240000002551824,138.93288432816075,34663.754639876104
15,1.596560261388102,1.5812799101503787,nan,34.61934156378601,0.2689162502648076,0.30623734366127936,0.0001,30,0.23494409990962595,0.2034998000599444,0.0,0.031374999904073775,147.4202922615304,36781.36291925183
16,1.5952036722389633,1.579659882396337,nan,35.648148148148145,0.27714349944101563,0.31440420752490367,0.0001,30,0.25571930001024157,0.2265740999719128,0.0,0.029097000020556152,132.40701388075223,33035.54996324768
17,1.5934723135783184,1.5793992903988057,nan,36.41975308641975,0.28477978650772445,0.3209943281388053,0.0001,30,0.232006200007163,0.20737309998366982,0.0,0.024582500103861094,144.66678659075086,36094.36325439234
18,1.59297912807248,1.5782114272254975,nan,36.31687242798354,0.28343703631341005,0.32123135111137374,0.0001,30,0.23058440000750124,0.20805279992055148,0.0,0.022475500009022653,144.19416615136163,35976.44445476473
19,1.5929768670298055,1.5766725294874528,nan,37.39711934156379,0.2948340411402258,0.3300035098238158,0.0001,30,0.21534420002717525,0.18683559994678944,0.0,0.02845580002758652,160.56897084144543,40061.95822494064
20,1.5914295173280624,1.5768477529164695,56.75,37.191358024691354,0.29250444382949353,0.32953610550361323,0.0001,30,0.24466839991509914,0.19759379990864545,0.024611799977719784,0.022409900091588497,151.82662620927405,37880.74323921387
21,1.5904545573927038,1.5757712209175643,nan,37.60288065843621,0.29581522952604844,0.3313485983520926,0.0001,30,0.20730670006014407,0.18446680007036775,0.0,0.02266400004737079,162.63089069987677,40576.40722961925
22,1.5892224870209066,1.5751834332697676,nan,38.168724279835395,0.2994209414585006,0.33642998924066836,0.0001,30,0.21614839998073876,0.19347499997820705,0.0,0.022620199946686625,155.0587931431926,38687.16888922655
23,1.5890189525518883,1.5738475636690241,nan,38.37448559670782,0.3050677945271787,0.33938554500037277,0.0001,30,0.20728860003873706,0.18524430005345494,0.0,0.021994699956849217,161.94830281602762,40406.10155259889
24,1.5881146641675838,1.572847526750447,nan,38.78600823045267,0.309614724875656,0.3447463372127576,0.0001,30,0.28160079999361187,0.2591695999726653,0.0,0.02239149995148182,115.75431687653223,28880.70206069479
25,1.5877135963860398,1.5726654696366424,nan,39.14609053497942,0.3121423635855055,0.34761871977250725,0.0001,30,0.22082550008781254,0.19845040002837777,0.0,0.02231930010020733,151.17127501738517,37717.233116837604
26,1.587200473480887,1.570743055010038,nan,39.14609053497942,0.3124653829252174,0.3482807331651784,0.0001,30,0.20882550009991974,0.18665449996478856,0.0,0.02212810004130006,160.72476155495502,40100.828007961274
27,1.5864265202361103,1.570430462252456,nan,40.07201646090535,0.31990488457825983,0.35545164822905356,0.0001,30,0.2124393000267446,0.1896925000473857,0.0,0.0227016001008451,158.15069121080654,39458.597457096235
28,1.5840716176934455,1.570006507904932,nan,40.22633744855967,0.32031206934083395,0.35689810039116066,0.0001,30,0.21120750007685274,0.1821863999357447,0.0,0.02897139999549836,164.66651742710047,41084.29609806157
29,1.5836781547001066,1.5684422450791662,nan,40.63786008230453,0.3257952796903308,0.3617175274959889,0.0001,30,0.2081820999737829,0.18384910002350807,0.0,0.02429249999113381,163.17730136380334,40712.73669026893
30,1.5839348346134305,1.5683341502162165,58.599999999999994,39.76337448559671,0.31976372234355727,0.35583668945725666,0.0001,30,0.22817659995052963,0.18195780005771667,0.024085499928332865,0.02208500006236136,164.87339366866414,41135.91172033171
31,1.5820420145908831,1.5673807172618286,nan,40.94650205761317,0.3299408480356565,0.3650761112399165,0.0001,30,0.2204931000014767,0.19608600006904453,0.0,0.02423589990939945,152.9940943740838,38172.02654633391
32,1.5807553967397534,1.5658822069442813,nan,41.56378600823045,0.33588393293813174,0.3699057640668162,0.0001,30,0.20516949996817857,0.17967890005093068,0.0,0.025447399937547743,166.9645127585731,41657.64593326399
33,1.5805456858917164,1.565091034512461,nan,41.1522633744856,0.33131128037405255,0.3667919096320571,0.0001,30,0.20368799997959286,0.18115819990634918,0.0,0.022488299990072846,165.60111557472243,41317.47833589325
34,1.5800778073474575,1.5644003589457445,nan,42.07818930041152,0.3387264582298647,0.37405499235882783,0.0001,30,0.2019340000115335,0.17977010004688054,0.0,0.022118400083854795,166.87980922398432,41636.51240138409
35,1.5792945667354759,1.5640833937091592,nan,41.46090534979424,0.3357091326371508,0.3703796631983492,0.0001,30,0.21864249999634922,0.1907965000718832,0.0,0.027791300090029836,157.23558864390805,39230.27936665506
36,1.578004384773448,1.5635348435782601,nan,42.232510288065846,0.34357747262763505,0.3777155035171437,0.0001,30,0.20549780002329499,0.1834781999932602,0.0,0.02196790010202676,163.50716325482813,40795.037232079616
37,1.577488098163643,1.5622599115096982,nan,41.8724279835391,0.3375294017436161,0.3732382407114121,0.0001,30,0.2336789999390021,0.21072629990521818,0.0,0.022901899996213615,142.3647642154472,35520.008671754076
38,1.5773071870695534,1.561319874637902,nan,42.592592592592595,0.34773879943784713,0.38199664747999373,0.0001,30,0.23161679995246232,0.2086043000454083,0.0,0.022967099910601974,143.81295109194633,35881.33129744061
39,1.5755890305231792,1.560531542134383,nan,42.181069958847736,0.3442894784700685,0.3786083550635591,0.0001,30,0.2086307000136003,0.18547989998478442,0.0,0.02309359994251281,161.7425931460013,40354.776989927326
40,1.5743331794668693,1.5598943591608432,63.800000000000004,42.79835390946502,0.35152950590845644,0.3851111354725235,0.0001,30,0.2384135000174865,0.1924896000418812,0.023902199929580092,0.021958000026643276,155.85257589746513,38885.217686417556
41,1.5731692751487574,1.5575729294568914,nan,43.62139917695473,0.35784121033116045,0.39215939847654124,0.0001,30,0.21647749992553145,0.194256899994798,0.0,0.022026399965398014,154.43466873404944,38531.449849145334
42,1.5740140403360228,1.5580298096064187,nan,43.26131687242798,0.35486190281351976,0.3895404614271329,0.0001,30,0.29031070007476956,0.26815000001806766,0.0,0.022108000004664063,111.87768039522145,27913.481258607753
43,1.5720740082905782,1.5572117532722254,nan,43.20987654320987,0.3546977857051691,0.389030145311031,0.0001,30,0.20664560003206134,0.18447069998364896,0.0,0.022121199988760054,162.6274525041599,40575.549399787895
44,1.5713897247193411,1.5566020669269953,nan,43.775720164609055,0.35864204097335434,0.3937359782252972,0.0001,30,0.20881699991878122,0.18655739992391318,0.0,0.022208400070667267,160.80841613484858,40121.69982564472
45,1.5703194140113825,1.5550850036212938,nan,44.8559670781893,0.3697684892379499,0.4033559606355914,0.0001,30,0.21278089995030314,0.19015509996097535,0.0,0.02257519995328039,157.76595003845156,39362.604534593665
46,1.5697086266381945,1.5548141885686804,nan,43.82716049382716,0.3579862278685907,0.39265684429511605,0.0001,30,0.21246239996980876,0.18977510009426624,0.0,0.02264060010202229,158.081855760309,39441.4230121971
47,1.5692207317951128,1.5536821487018602,nan,44.650205761316876,0.3676560873555231,0.4017693880931421,0.0001,30,0.2095495000248775,0.18643650005105883,0.0,0.023066599969752133,160.9126967722736,40147.717844682265
48,1.5679426169666195,1.5523940849696658,nan,44.598765432098766,0.3720163131622109,0.4048460655378284,0.0001,30,0.2115959000075236,0.18899189995136112,0.0,0.022547299973666668,158.73696178365734,39604.8719650225
49,1.5671080303255844,1.552124695522795,nan,45.06172839506173,0.3750396464822305,0.4079575470320771,0.0001,30,0.23238750000018626,0.20280410000123084,0.0,0.0295373999979347,147.92600346747392,36907.53786513474
50,1.5659703988111568,1.5511123408015373,65.25,45.318930041152264,0.37975465315193624,0.4118628205336433,0.0001,30,0.2574209999293089,0.20623559993691742,0.025265500065870583,0.02587139990646392,145.46470158001958,36293.44304421489
51,1.5665403998049403,1.5494221022099623,nan,46.19341563786008,0.38982093711758015,0.4209950779187843,0.0001,30,0.2038234000792727,0.18071230000350624,0.0,0.022920100018382072,166.00972927364617,41419.42745377472
52,1.5645379767867034,1.5493049376295427,nan,46.141975308641975,0.385501849970996,0.41805488262186086,0.0001,30,0.20916500000748783,0.18626729992683977,0.0,0.02285199996549636,161.0588654679759,40184.18693425998
53,1.5631366651378318,1.548607830648069,nan,45.98765432098765,0.3860250101622989,0.4182199159793966,0.0001,30,0.20383169990964234,0.18077119998633862,0.0,0.02298369992058724,165.95563896387912,41405.93192148784
54,1.562079355584516,1.5477393252368816,nan,45.98765432098765,0.3844314342454801,0.4171436409601141,0.0001,30,0.2248628999805078,0.20194159995298833,0.0,0.02286839997395873,148.5578009037462,37065.171325484676
55,1.5625310707347109,1.5468642348615231,nan,45.83333333333333,0.3803258355635256,0.41334978895169205,0.0001,30,0.20542989997193217,0.18049299996346235,0.0,0.024882799945771694,166.2114320559411,41469.752297957304
56,1.5616171523739515,1.546193272488598,nan,46.2962962962963,0.3907174279777724,0.42196508544294853,0.0001,30,0.2051083999685943,0.18203429994173348,0.0,0.02302109997253865,164.80410565263008,41118.62436033121
57,1.5602644218312316,1.5453669485241297,nan,46.244855967078195,0.38754294883905505,0.41957712609271447,0.0001,30,0.204719900037162,0.18175099999643862,0.0,0.022925700061023235,165.06099003905257,41182.71701474362
58,1.5604825832402618,1.5437714999595298,nan,46.60493827160494,0.39307703400035987,0.42426946651074526,0.0001,30,0.22560749994590878,0.1995227999286726,0.0,0.026029699947685003,150.35875604554818,37514.509633364265
59,1.5585099611428872,1.542742178273299,nan,47.17078189300412,0.39859773795489434,0.42962872198441027,0.0001,30,0.2048623999580741,0.1816062000580132,0.0,0.02321489993482828,165.19259799729662,41215.55320032551
60,1.557879756702609,1.5426423044361695,66.8,47.22222222222222,0.3999348695339053,0.43084353135997416,0.0001,30,0.3089828999945894,0.25679889996536076,0.029188200016506016,0.022940699942409992,116.82293033204837,29147.32111784607
61,1.5583169331133326,1.5414236617186432,nan,47.325102880658434,0.3993383395986398,0.43062442646615695,0.0001,30,0.2059781999560073,0.18264020001515746,0.0,0.023151699919253588,164.2573759638364,40982.21530297719
