class_name,precision,recall,f1,support
STANDING,0.7380952380952381,0.08423913043478261,0.15121951219512195,368
SITTING,1.0,0.07335907335907337,0.1366906474820144,259
LYING,0.984984984984985,1.0,0.9924357034795764,328
FALLING,0.8666666666666667,0.45614035087719296,0.5977011494252874,342
WALKING,0.45328467153284674,0.9598145285935085,0.615765989092712,647
