actual\predicted,STANDING,SITTING,LYING,FALLING,WALKING
STANDING,31,0,0,0,337
SITTING,0,19,5,9,226
LYING,0,0,328,0,0
FALLING,0,0,0,156,186
WALKING,11,0,0,15,621
