actual\predicted,STANDING,SITTING,LYING,FALLING,WALKING
STANDING,1052,0,0,2,7
SITTING,0,948,0,1,0
LYING,0,0,646,0,0
FALLING,8,0,0,642,2
WALKING,20,1,0,3,510
