epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,batches
1,1.661973046496137,1.5773091360282798,28.93589326391149,28.682977615825088,0.23857463096122739,0.2663764803068783,0.0001,241
2,1.5054425875759652,1.4631067600677188,37.149365440937196,36.283185840707965,0.32852039466482463,0.3504103503388232,0.0001,241
3,1.3915748758188802,1.335272662407529,46.189391474129515,46.56428943258719,0.4150530603972338,0.4424437973148995,0.0001,241
4,1.2993952374251938,1.2546811831115374,53.73250894890986,52.81103591879229,0.47464886830911845,0.49588892963547804,0.0001,241
5,1.2217190253164338,1.1895586348399094,59.811259355678494,59.63040083289953,0.5589331732540426,0.5794027343845528,0.0001,241
6,1.1569280058911675,1.1152394352823045,65.55157826228441,65.22644456012493,0.6099087453351865,0.6318843308198132,0.0001,241
7,1.098149454915636,1.0926888123705385,68.376179629027,67.04841228526809,0.6308829003970053,0.6535696234968813,0.0001,241
8,1.0509770286769848,1.0358464807225416,71.78001952489424,71.18688183237897,0.6735598890491874,0.697144723878308,0.0001,241
9,1.0048360678492483,0.987337596338283,75.3010087862024,74.20614263404477,0.6999617373109757,0.7259772240711033,0.0001,241
10,0.9667733231081157,0.9447875784934032,78.41848356654735,77.92816241540864,0.738484337995864,0.7640231181121566,0.0001,241
11,0.9346722796341126,0.9546380142939705,78.91962251871135,78.63092139510671,0.7530460156565233,0.7763506171507055,0.0001,241
12,0.9032063590638458,0.8811341470135555,80.6378132118451,79.98438313378449,0.7574791472121578,0.7836767740818741,0.0001,241
13,0.877060302158074,0.882408673412039,81.86137325089489,81.10359187922957,0.7732291093789813,0.7971649625613244,0.0001,241
14,0.8481840309862434,0.8447217569569633,83.49495606898796,83.70640291514836,0.8083266871425933,0.828361527029563,0.0001,241
15,0.8253814501208434,0.8284570270686767,83.31272372274651,82.95158771473191,0.7933735678512506,0.8165519737736884,0.0001,241
16,0.8045474951328535,0.7857944381727271,84.93328994467947,84.40916189484643,0.8107732940704222,0.8324318270083236,0.0001,241
17,0.781833077982199,0.7824973223545724,85.35632931988285,85.21603331598125,0.8205958360545582,0.8414106317610709,0.0001,241
18,0.7634851390594696,0.7576966353036164,86.16986657988936,85.94482040603853,0.8278708345066171,0.848551505233066,0.0001,241
19,0.7458869680495592,0.7386259098092695,86.53433127237228,86.49141072358147,0.832257354248155,0.8534890767564004,0.0001,241
20,0.7276594259434013,0.7240539617925681,86.84022128213472,87.24622592399793,0.841965595874729,0.8620351410565833,0.0001,241
21,0.7142178150872784,0.7276578493753738,87.1396029938171,87.24622592399793,0.8460395591828483,0.8643657930761351,0.0001,241
22,0.698262993140365,0.6912299169034526,87.78392450374227,87.50650702758979,0.85171514953367,0.8681387656524897,0.0001,241
23,0.6822214828032529,0.678620521318534,87.72534982102181,87.87090057261842,0.8501172502564207,0.868970179452515,0.0001,241
24,0.6693440614520941,0.6569528953288136,88.66905304262936,88.93805309734513,0.863933010643428,0.8815670993814935,0.0001,241
25,0.6554496464572588,0.6342146928455605,88.72762772534982,89.14627798021864,0.8680403122134022,0.8842448591386823,0.0001,241
26,0.6405586858855525,0.6522523578661671,87.27627725349821,87.03800104112442,0.841176739991122,0.8599444046670393,0.0001,241
