class_name,precision,recall,f1,support
STANDING,0.806060606060606,0.7228260869565217,0.7621776504297995,368
SITTING,0.6710526315789473,0.9845559845559846,0.7981220657276995,259
LYING,0.9939393939393939,1.0,0.9969604863221885,328
FALLING,0.8157894736842105,0.8157894736842105,0.8157894736842105,342
WALKING,0.8220640569395018,0.714064914992272,0.7642679900744417,647
