epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_weighted_f1,learning_rate,batches,epoch_seconds,train_seconds,train_eval_seconds,val_seconds,batches_per_second,samples_per_second
1,1.4622370446288824,1.374534286254171,69.45,37.70239013107171,0.2673533758877944,0.2880499026228246,0.0001,27,0.4377131999935955,0.3893559999996796,0.03241179999895394,0.01589899999089539,69.34527784347029,17151.398719951652
2,1.444962842123849,1.3912200132699406,nan,36.00616808018504,0.2655192882374307,0.28720960924511646,0.0001,27,0.19354679994285107,0.17565460002515465,0.0,0.01776009995955974,153.71074823052433,38017.79172901635
3,1.4324238651632084,1.3772155860799409,nan,37.77949113338474,0.29222087266689645,0.31518618234725865,0.0001,27,0.17804409994278103,0.16167539998423308,0.0,0.016324899974279106,167.00128778177196,41304.98517802493
4,1.4155211743925746,1.3703971635219954,nan,38.396299151888975,0.3002175104495324,0.32303456406894365,0.0001,27,0.18033990007825196,0.16373130003921688,0.0,0.016568399965763092,164.9043279662042,40786.3371169745
5,1.3964571276265156,1.363707197659183,nan,39.244410177332306,0.3090297323287972,0.3319559834820413,0.0001,27,0.1889491000911221,0.17102090001571923,0.0,0.01787550002336502,157.87544094036647,39047.85905925064
6,1.3841793106929667,1.3397777813071,nan,40.32382420971473,0.3261599921812234,0.3489550916970846,0.0001,27,0.193722500000149,0.17259510001167655,0.0,0.021072300034575164,156.43549555099406,38691.712566279195
7,1.3738897419789837,1.3374045840942042,nan,39.93831919814957,0.3168614685017594,0.33958929545585614,0.0001,27,0.18729539995547384,0.1698645999422297,0.0,0.01738950004801154,158.95012856818076,39313.66513253004
8,1.351318518142209,1.325138907756085,nan,41.865844255975325,0.34817399702164287,0.3724832732535538,0.0001,27,0.25621219992171973,0.2394940999802202,0.0,0.016674699960276484,112.7376415629025,27883.77667989122
9,1.3382719239634502,1.3159783052865046,nan,42.405551272166534,0.3555097078393456,0.3795857427688018,0.0001,27,0.1838365999283269,0.16743109992239624,0.0,0.01635389996226877,161.26036329280768,39885.06318775443
10,1.3291510252154277,1.3078475512259726,87.85,43.02235929067078,0.3574105498167218,0.3814662854517777,0.0001,27,0.2229708000086248,0.17605139990337193,0.030545499990694225,0.016337000066414475,153.36430164610618,37932.10394047026
11,1.3174925535230018,1.296960338777823,nan,44.64148033924441,0.3783124911564329,0.40269961533098353,0.0001,27,0.2003320000367239,0.18399749998934567,0.0,0.01618789997883141,146.74112420855408,36293.97138758237
12,1.2989839149399696,1.288737477480492,nan,44.33307632999229,0.37464857368672116,0.39829079296035713,0.0001,27,0.18437519995495677,0.16663879994302988,0.0,0.017683499958366156,162.0270909849969,40074.70050362257
