actual\predicted,STANDING,SITTING,LYING,FALLING,WALKING
STANDING,254,4,0,5,105
SITTING,0,257,2,0,0
LYING,0,0,328,0,0
FALLING,0,1,0,283,58
WALKING,31,3,0,30,583
